Timestamp,Week,Node,Cell,PRB_Usage_Percentage
2024-05-20 13:00:00,2024-20,BTA El Ensueno,AWS_2,54.77219999999999
2024-05-25 19:00:00,2024-20,BTA El Ensueno,AWS_3,93.4192
2024-05-20 21:00:00,2024-20,BTA El Ensueno,AWS_3,92.59
2024-05-22 20:00:00,2024-20,BTA El Ensueno,AWS_3,88.0504
2024-05-23 20:00:00,2024-20,BTA El Ensueno,AWS_3,86.5958
2024-05-23 22:00:00,2024-20,BTA El Ensueno,AWS_3,86.353
2024-05-22 18:00:00,2024-20,BTA El Ensueno,AWS_3,85.8386
2024-05-20 18:00:00,2024-20,BTA El Ensueno,AWS_3,85.7414
2024-05-23 21:00:00,2024-20,BTA El Ensueno,AWS_3,84.7728
2024-05-25 21:00:00,2024-20,BTA El Ensueno,AWS_3,84.7218
2024-05-25 20:00:00,2024-20,BTA El Ensueno,AWS_3,84.5622
2024-05-20 20:00:00,2024-20,BTA El Ensueno,AWS_3,84.2766
2024-05-22 19:00:00,2024-20,BTA El Ensueno,AWS_3,82.7954
2024-05-21 21:00:00,2024-20,BTA El Ensueno,AWS_3,82.425
2024-05-22 17:00:00,2024-20,BTA El Ensueno,AWS_3,79.4442
2024-05-22 22:00:00,2024-20,BTA El Ensueno,AWS_3,79.3416
2024-05-25 09:00:00,2024-20,BTA El Ensueno,AWS_3,78.9768
2024-05-20 17:00:00,2024-20,BTA El Ensueno,AWS_3,78.7984
2024-05-24 21:00:00,2024-20,BTA El Ensueno,AWS_3,78.0448
2024-05-25 18:00:00,2024-20,BTA El Ensueno,AWS_3,77.9524
2024-05-25 13:00:00,2024-20,BTA El Ensueno,AWS_3,77.732
2024-05-23 23:00:00,2024-20,BTA El Ensueno,AWS_3,77.7152
2024-05-25 11:00:00,2024-20,BTA El Ensueno,AWS_3,76.098
2024-05-22 21:00:00,2024-20,BTA El Ensueno,AWS_3,76.0372
2024-05-23 18:00:00,2024-20,BTA El Ensueno,AWS_3,75.971
2024-05-20 19:00:00,2024-20,BTA El Ensueno,AWS_3,75.2046
2024-05-21 22:00:00,2024-20,BTA El Ensueno,AWS_3,74.9412
2024-05-21 19:00:00,2024-20,BTA El Ensueno,AWS_3,74.698
2024-05-24 22:00:00,2024-20,BTA El Ensueno,AWS_3,74.531
2024-05-25 10:00:00,2024-20,BTA El Ensueno,AWS_3,74.342
2024-05-24 20:00:00,2024-20,BTA El Ensueno,AWS_3,74.3002
2024-05-24 14:00:00,2024-20,BTA El Ensueno,AWS_3,74.0858
2024-05-21 20:00:00,2024-20,BTA El Ensueno,AWS_3,73.8214
2024-05-23 19:00:00,2024-20,BTA El Ensueno,AWS_3,73.6914
2024-05-25 15:00:00,2024-20,BTA El Ensueno,AWS_3,72.207
2024-05-25 23:00:00,2024-20,BTA El Ensueno,AWS_3,72.1586
2024-05-25 14:00:00,2024-20,BTA El Ensueno,AWS_3,71.0024
2024-05-20 19:00:00,2024-20,BTA El Ensueno,B28_4,94.4596
2024-05-22 19:00:00,2024-20,BTA El Ensueno,B28_4,94.4442
2024-05-20 21:00:00,2024-20,BTA El Ensueno,B28_4,94.1362
2024-05-21 19:00:00,2024-20,BTA El Ensueno,B28_4,94.0396
2024-05-20 20:00:00,2024-20,BTA El Ensueno,B28_4,92.9372
2024-05-22 21:00:00,2024-20,BTA El Ensueno,B28_4,92.072
2024-05-22 20:00:00,2024-20,BTA El Ensueno,B28_4,92.0542
2024-05-25 22:00:00,2024-20,BTA El Ensueno,B28_4,91.6306
2024-05-23 20:00:00,2024-20,BTA El Ensueno,B28_4,91.2056
2024-05-25 19:00:00,2024-20,BTA El Ensueno,B28_4,91.0118
2024-05-21 20:00:00,2024-20,BTA El Ensueno,B28_4,90.7956
2024-05-21 21:00:00,2024-20,BTA El Ensueno,B28_4,90.1348
2024-05-23 15:00:00,2024-20,BTA El Ensueno,B28_4,89.937
2024-05-25 18:00:00,2024-20,BTA El Ensueno,B28_4,89.9188
2024-05-21 22:00:00,2024-20,BTA El Ensueno,B28_4,89.7424
2024-05-20 18:00:00,2024-20,BTA El Ensueno,B28_4,89.41
2024-05-25 21:00:00,2024-20,BTA El Ensueno,B28_4,89.1028
2024-05-22 15:00:00,2024-20,BTA El Ensueno,B28_4,88.7782
2024-05-22 18:00:00,2024-20,BTA El Ensueno,B28_4,88.613
2024-05-22 22:00:00,2024-20,BTA El Ensueno,B28_4,87.8248
2024-05-23 19:00:00,2024-20,BTA El Ensueno,B28_4,87.5682
2024-05-23 21:00:00,2024-20,BTA El Ensueno,B28_4,86.9082
2024-05-23 18:00:00,2024-20,BTA El Ensueno,B28_4,86.4712
2024-05-25 20:00:00,2024-20,BTA El Ensueno,B28_4,85.516
2024-05-25 17:00:00,2024-20,BTA El Ensueno,B28_4,85.2646
2024-05-24 22:00:00,2024-20,BTA El Ensueno,B28_4,84.9668
2024-05-23 22:00:00,2024-20,BTA El Ensueno,B28_4,84.9118
2024-05-24 20:00:00,2024-20,BTA El Ensueno,B28_4,84.8202
2024-05-24 21:00:00,2024-20,BTA El Ensueno,B28_4,84.496
2024-05-25 14:00:00,2024-20,BTA El Ensueno,B28_4,83.9788
2024-05-23 11:00:00,2024-20,BTA El Ensueno,B28_4,83.4592
2024-05-23 14:00:00,2024-20,BTA El Ensueno,B28_4,82.3318
2024-05-25 15:00:00,2024-20,BTA El Ensueno,B28_4,82.1152
2024-05-22 14:00:00,2024-20,BTA El Ensueno,B28_4,82.0248
2024-05-21 16:00:00,2024-20,BTA El Ensueno,B28_4,81.7008
2024-05-21 18:00:00,2024-20,BTA El Ensueno,B28_4,81.6612
2024-05-22 22:00:00,2024-20,BTA El Ensueno,B28_5,93.8448
2024-05-20 20:00:00,2024-20,BTA El Ensueno,B28_5,90.4092
2024-05-22 20:00:00,2024-20,BTA El Ensueno,B28_5,88.8492
2024-05-22 21:00:00,2024-20,BTA El Ensueno,B28_5,88.1124
2024-05-20 19:00:00,2024-20,BTA El Ensueno,B28_5,87.9058
2024-05-23 20:00:00,2024-20,BTA El Ensueno,B28_5,87.704
2024-05-20 21:00:00,2024-20,BTA El Ensueno,B28_5,87.2918
2024-05-25 18:00:00,2024-20,BTA El Ensueno,B28_5,86.811
2024-05-25 17:00:00,2024-20,BTA El Ensueno,B28_5,86.7724
2024-05-22 18:00:00,2024-20,BTA El Ensueno,B28_5,84.2686
2024-05-25 13:00:00,2024-20,BTA El Ensueno,B28_5,84.0932
2024-05-21 20:00:00,2024-20,BTA El Ensueno,B28_5,83.732
2024-05-22 14:00:00,2024-20,BTA El Ensueno,B28_5,83.499
