timestamp,node_name,cell_name,l_traffic_activeuser_dl_avg,l_traffic_activeuser_dl_max,l_traffic_activeuser_ul_avg,l_traffic_activeuser_dl_max_1,l_traffic_user_avg,l_traffic_user_max,l_chmeas_prb_dl_avail,l_chmeas_prb_dl_used_avg,l_chmeas_prb_ul_avail,l_chmeas_prb_ul_used_avg,l_thrp_bits_dl,l_thrp_bits_ul,dl_prb_usage,ul_prb_usage,user_exp
2024-05-20 04:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_2,0.0459,3,0.0427,3,3.6981,10,50,1.973,50,5.5178,1072831984,101140344,3.946,11.0356,12.493096234734312
2024-05-20 04:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_1,0.261,6,0.2517,6,16.7364,29,50,6.9516,50,9.2256,5683655088,1348129312,13.903199999999998,18.4512,9.917436062188903
2024-05-20 04:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_6,0.3548,5,0.4089,6,9.5219,18,50,10.3732,50,8.4339,5672622896,703882304,20.7464,16.8678,5.91718949325955
2024-05-20 04:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_7,0.5863,8,0.6727,8,36.0447,60,50,14.084,50,16.7338,22358530216,3779114104,28.168,33.4676,18.98787677137339
2024-05-20 04:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_4,0.1744,6,0.2723,5,6.2339,15,50,4.87,50,9.0562,3705926560,2312129904,9.74,18.1124,11.352394506612873
2024-05-20 04:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_8,0.2842,6,0.3113,6,25.4322,43,50,6.7709,50,11.5305,8190625064,1125135720,13.5418,23.061,17.201006220791783
2024-05-20 04:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_5,0.0888,4,0.1011,4,7.0556,14,50,3.2454,50,5.704,2145636280,203245072,6.490800000000001,11.408,11.047899744021343
2024-05-20 05:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_8,0.5247,7,0.4592,7,25.8939,40,50,13.6226,50,13.2034,17665407296,3349461968,27.245200000000004,26.406800000000004,15.533259417570653
2024-05-20 05:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_2,0.1574,6,0.2186,5,4.8808,14,50,5.4845,50,7.1254,4539965904,226475568,10.969,14.2508,10.258757222858057
2024-05-20 05:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_7,1.2433,11,1.1603,10,48.9758,69,50,20.1311,50,19.0634,30914274440,7560377288,40.2622,38.1268,13.160640779062556
2024-05-20 05:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_6,0.9921,9,0.6011,8,13.0519,26,50,27.2415,50,9.41,16620932976,1006555016,54.48299999999999,18.82,5.070143364668865
2024-05-20 05:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_5,0.4357,7,0.277,5,7.6981,15,50,14.8494,50,6.5951,9918790928,423340248,29.6988,13.190200000000004,7.241182952437371
2024-05-20 05:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_4,0.6814,7,0.5274,6,9.0064,18,50,18.507,50,8.4395,8051411312,519430600,37.014,16.879,3.704968001149056
2024-05-20 05:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_9,0.5837,7,0.5136,7,23.9944,42,50,16.6265,50,11.6487,16237680408,806357648,33.253,23.2974,10.20063230418073
2024-05-20 05:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_1,0.7877,9,0.6984,9,24.2872,47,50,18.2067,50,12.1637,19200786160,3866504528,36.4134,24.3274,9.414658827896288
2024-05-20 05:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_3,0.4331,6,0.2969,5,12.5156,25,50,15.5831,50,8.2437,14384185544,773257920,31.1662,16.4874,11.14865341146006
2024-05-20 06:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_9,0.6882,8,0.4748,6,25.1517,45,50,18.5148,50,11.8297,20420885744,1063885208,37.0296,23.6594,10.89320350558228
2024-05-20 06:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_7,2.1213,15,1.8492,12,57.6528,79,50,31.3965,50,22.7533,44065081552,7175653256,62.793,45.5066,7.930902330383024
2024-05-20 06:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_8,0.8479,9,0.6197,7,27.5208,43,50,21.0869,50,12.5739,29838384584,1696529256,42.1738,25.1478,13.754274150752936
